age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b
47,51,"Part-time activity","Full time activity","Female","Male","Different sex",31.66667,"21+","Cohabiting","1","9","9",19,20,"> 50x","> 50x","> 50x","11-20x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","No answer","No answer","No answer","11 to 20 times","More than 50 times","More than 50 times","No answer","No answer","No answer","2-5y. older partner",22,18,"2","1 - Not at all","6","5",9,9,9,9,9,5,5,11,13,3,3,29,0,0,9,7,9,,8,"East Germany","East Germany","Rural area","Rural area","Married",25,
34,37,"Home","Full time activity","Female","Male","Different sex",12.83333,"11-20","Cohabiting","2","8","9",20,,"21-50x","0x","1-5x","6-10x","1-5x","0x","21 to 50 times","Not at all","1 to 5 times","21 to 50 times","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","Not at all","1 to 5 times","Not at all","Not at all","2-5y. older partner",21,,"1 - Not at all","1 - Not at all","10 - Completely satisfied","9",9,13,12,13,6,4,3,13,15,5,4,11,2,1,9,13,13,13,6,"West Germany","West Germany","Rural area","Rural area","Married",20,"2-5"
36,37,"Full time activity","Full time activity","Male","Female","Different sex",9.833333,"6-10","Cohabiting","3+","8","9",20,18,"11-20x","1-5x","6-10x","11-20x","6-10x","1-5x","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","Same age",23,26,"2","1 - Not at all","8","7",7,9,9,10,7,4,6,12,13,4,4,13,1,0,11,6,14,7,9,"East Germany","East Germany","Town or suburb","Town or suburb","Married",8,"0-1"
49,52,"Full time activity","Full time activity","Female","Male","Different sex",21.33333,"21+","Cohabiting","1","9","7",23,18,"1-5x","1-5x","1-5x","6-10x","6-10x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","6 to 10 times","2-5y. older partner",26,22,"2","1 - Not at all","9","7",9,9,10,10,7,3,,13,12,4,4,13,4,2,11,10,11,12,9,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",14,"6-13"
27,21,"Full time activity","Full time activity","Male","Female","Different sex",1,"0-2","Cohabiting","0","10 - Completely satisfied","9",25,24,"> 50x","> 50x","21-50x","21-50x","> 50x","> 50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","6-10y. younger partner",24,23,"1 - Not at all","1 - Not at all","7","8",10,10,8,9,11,4,5,11,9,5,3,16,0,0,6,8,11,7,11,"West Germany","West Germany","City","Rural area","Not married",14,
27,31,"Full time activity","Full time activity","Female","Male","Different sex",4.916667,"3-5","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",25,,"21-50x","> 50x","> 50x","> 50x","> 50x","21-50x","21 to 50 times","More than 50 times","More than 50 times","6 to 10 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","2-5y. older partner",28,,"1 - Not at all","1 - Not at all","9","8",9,12,12,9,7,3,3,13,14,5,4,12,4,1,10,11,12,7,7,"West Germany","West Germany","Town or suburb","Town or suburb","Married",24,
35,35,"Full time activity","Home","Male","Female","Different sex",19.33333,"11-20","Cohabiting","3+","9","8",11,,"6-10x","6-10x","6-10x","6-10x","6-10x","6-10x","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","Same age",15,,"1 - Not at all","3","7","8",9,9,8,9,5,3,3,15,10,5,3,9,0,5,9,12,11,7,10,"West Germany","West Germany","Town or suburb","Town or suburb","Married",13,"2-5"
36,31,"Full time activity","Full time activity","Male","Female","Different sex",16.33333,"11-20","Cohabiting","2","7","8",15,,"0x","0x","0x","11-20x","11-20x","0x","Not at all","Not at all","Not at all","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","Not at all","21 to 50 times","11 to 20 times","Not at all","2-5y. younger partner",19,,"3","1 - Not at all","7","7",9,10,8,9,8,6,5,10,9,4,4,25,0,0,7,12,11,7,8,"East Germany","East Germany","Rural area","Rural area","Married",14,"6-13"
34,29,"Full time activity","Full time activity","Male","Female","Different sex",5.583333,"3-5","Cohabiting","0","10 - Completely satisfied","9",29,27,"21-50x","21-50x","6-10x","> 50x","21-50x","11-20x","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",29,25,"1 - Not at all","2","9","8",12,14,14,12,5,3,5,15,12,5,4,19,0,1,11,11,10,9,7,"West Germany","West Germany","City","City","Married",15,
21,20,"Full time activity","Full time activity","Male","Female","Different sex",5.083333,"3-5","Cohabiting","0","7","7",21,20,"21-50x","11-20x","21-50x","11-20x","11-20x","21-50x","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","Same age",24,23,"3","4","8","5",9,12,8,12,6,6,9,14,5,4,3,17,1,1,8,11,11,9,12,"West Germany","West Germany","City","City","Not married",16,
28,28,"Full time activity","Full time activity","Male","Female","Different sex",2.916667,"0-2","Cohabiting","0","9","9",16,20,"> 50x","21-50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","Same age",20,21,"1 - Not at all","2","8","7",9,15,11,12,6,3,6,12,11,5,5,12,2,6,12,12,11,13,9,"West Germany","West Germany","City","City","Not married",10,
38,32,"Full time activity","Home","Male","Female","Different sex",15.58333,"11-20","Cohabiting","2","8","8",23,23,"21-50x","6-10x","6-10x","21-50x","1-5x","6-10x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","11 to 20 times","6-10y. younger partner",24,24,"2","1 - Not at all","7","8",11,9,12,10,8,3,3,8,13,4,4,20,0,1,12,12,12,8,7,"East Germany","East Germany","Rural area","Rural area","Not married",9,"0-1"
35,34,"Full time activity","Full time activity","Male","Female","Different sex",5.833333,"3-5","Cohabiting","0","10 - Completely satisfied","8",21,24,"21-50x","11-20x","6-10x","21-50x","1-5x","21-50x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","Same age",25,26,"2","1 - Not at all","7","7",9,11,13,9,8,6,3,12,12,4,4,14,4,0,10,11,9,7,9,"West Germany",,"City",,"Married",9,
44,45,"Full time activity","Home","Male","Female","Different sex",24.33333,"21+","Cohabiting","1","5","6",18,24,"6-10x","1-5x","1-5x","11-20x","11-20x","6-10x","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","21 to 50 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",18,23,"4","3","7","7",8,10,9,8,9,6,5,7,10,3,3,20,7,9,11,12,13,7,10,"West Germany","West Germany","Rural area","Rural area","Married",7,"6-13"
50,41,"Full time activity","Part-time activity","Male","Female","Different sex",21.5,"21+","Cohabiting","2","8","6",17,21,"6-10x","1-5x","0x","6-10x","0x","0x","6 to 10 times","1 to 5 times","Not at all","11 to 20 times","1 to 5 times","Not at all","6 to 10 times","Not at all","Not at all","21 to 50 times","6 to 10 times","1 to 5 times","6-10y. younger partner",24,24,"3","2","9","8",11,11,7,11,7,3,3,9,12,4,4,9,8,0,7,13,11,8,5,"West Germany","West Germany","Rural area","Rural area","Married",28,"6-13"
33,35,"Part-time activity","Full time activity","Female","Male","Different sex",7.916667,"6-10","Cohabiting","1","8","7",22,,"> 50x","> 50x","21-50x","21-50x","21-50x","11-20x","More than 50 times","More than 50 times","21 to 50 times","No answer","No answer","No answer","21 to 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","2-5y. older partner",21,,"3","1 - Not at all","8","9",9,10,11,7,10,6,5,9,13,3,4,14,3,0,11,11,14,7,6,"West Germany","West Germany","Rural area","Rural area","Married",10,"2-5"
51,39,"Full time activity","Full time activity","Male","Female","Different sex",12.58333,"11-20","Separate households","0","5","7",16,22,"0x","0x","0x","0x","0x","0x","Not at all","Not at all","Not at all","More than 50 times","More than 50 times","More than 50 times","Not at all","Not at all","Not at all","More than 50 times","More than 50 times","More than 50 times","> 10y. younger partner",27,23,"5 - Absolutely","3","3","7",9,11,11,9,11,9,6,12,15,4,4,24,3,3,8,10,6,10,7,"West Germany","West Germany","City","City","Not married",21,
27,26,"Full time activity","Full time activity","Female","Female","Same sex",5.416667,"3-5","Cohabiting","0","6","7",20,18,"11-20x","21-50x","> 50x","11-20x","6-10x","6-10x","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","Same age",19,21,"4","3","3","5",8,11,9,13,13,10,6,6,12,2,3,12,0,0,10,12,9,8,8,"West Germany","West Germany","City","City","Not married",11,
44,41,"Full time activity","Full time activity","Male","Female","Different sex",22.5,"21+","Cohabiting","2","9","10 - Completely satisfied",21,17,"> 50x","21-50x","21-50x","> 50x","21-50x","6-10x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","6 to 10 times","More than 50 times","21 to 50 times","11 to 20 times","2-5y. younger partner",15,20,"1 - Not at all","5 - Absolutely","8","5",12,6,8,8,7,4,8,14,4,4,3,10,0,0,4,12,10,9,10,"West Germany","East Germany","City","City","Not married",12,"6-13"
36,39,"Home","Full time activity","Female","Male","Different sex",14.66667,"11-20","Separate households","1","10 - Completely satisfied","10 - Completely satisfied",27,25,"11-20x","11-20x","11-20x","11-20x","6-10x","6-10x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","2-5y. older partner",24,25,"1 - Not at all","1 - Not at all","9","9",7,11,11,9,5,3,3,14,15,4,5,9,0,0,11,12,12,11,6,"East Germany","East Germany","City","Rural area","Not married",9,"0-1"
25,23,"Full time activity","Full time activity","Male","Female","Different sex",5.916667,"3-5","Cohabiting","0","9","9",26,23,"0x","11-20x","6-10x","1-5x","6-10x","6-10x","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","2-5y. younger partner",25,25,"1 - Not at all","2","7","7",9,8,12,13,5,4,3,15,11,2,2,21,0,0,,12,13,10,6,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",10,
34,30,"Full time activity","Home","Male","Female","Different sex",9.75,"6-10","Cohabiting","1","9","10 - Completely satisfied",21,26,"11-20x","11-20x","0x","1-5x","1-5x","1-5x","11 to 20 times","11 to 20 times","Not at all","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","2-5y. younger partner",25,28,"1 - Not at all","2","7","8",7,10,8,7,8,3,4,12,15,4,4,19,0,5,8,10,7,12,5,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"0-1"
28,21,"Full time activity","Full time activity","Female","Male","Different sex",3.916667,"3-5","Cohabiting","0","7","9",20,25,"> 50x","21-50x","11-20x","> 50x","21-50x","> 50x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","No answer","No answer","No answer","6-10y. younger partner",23,24,"3","3","5","8",11,9,11,7,8,6,5,12,14,3,4,20,0,0,8,8,12,7,8,"East Germany","West Germany","Town or suburb","Town or suburb","Not married",21,
34,32,"Full time activity","Full time activity","Male","Female","Different sex",7.916667,"6-10","Separate households","0","8","9",29,28,"21-50x","21-50x","1-5x","21-50x","6-10x","11-20x","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","21 to 50 times","1 to 5 times","21 to 50 times","6 to 10 times","11 to 20 times","More than 50 times","6 to 10 times","11 to 20 times","2-5y. younger partner",30,27,"1 - Not at all","2","8","8",12,9,9,13,5,3,6,13,13,3,4,11,0,9,11,13,11,11,9,"West Germany","West Germany","City","City","Not married",22,
21,23,"Full time activity","Full time activity","Female","Male","Different sex",4.166667,"3-5","Separate households","0","9","8",22,23,"6-10x","6-10x","6-10x","0x","11-20x","6-10x","6 to 10 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","Not at all","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",24,21,"3","1 - Not at all","7","7",9,10,10,7,11,7,7,9,12,3,3,22,7,6,10,14,9,8,9,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",25,
33,48,"Part-time activity","Full time activity","Female","Male","Different sex",2.5,"0-2","Cohabiting","0","8","8",22,,"> 50x","21-50x","21-50x","11-20x","6-10x","1-5x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","6 to 10 times","1 to 5 times","6 to 10 times","1 to 5 times","1 to 5 times","> 10y. older partner",25,,"3","1 - Not at all","8","8",11,10,6,10,7,6,4,10,11,4,4,12,1,0,9,11,12,14,11,"West Germany","West Germany","Rural area","Rural area","Not married",10,
49,55,"Part-time activity","Full time activity","Female","Male","Different sex",22.08333,"21+","Cohabiting","2","7","6",18,,"21-50x","0x","6-10x","11-20x","11-20x","1-5x","21 to 50 times","Not at all","6 to 10 times","21 to 50 times","Not at all","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","6-10y. older partner",24,,"2","1 - Not at all","7","7",7,13,14,10,8,5,3,11,10,4,3,17,5,1,10,13,6,,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",17,"14-17"
42,41,"Full time activity","Part-time activity","Male","Female","Different sex",17.25,"11-20","Cohabiting","2","9","10 - Completely satisfied",19,24,"21-50x","6-10x","6-10x","21-50x","11-20x","11-20x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","Same age",25,25,"1 - Not at all","1 - Not at all","8","9",8,11,12,9,6,4,6,13,9,4,4,16,5,8,11,11,13,9,9,"West Germany","West Germany","Rural area","Rural area","Married",11,"6-13"
39,32,"Full time activity","Part-time activity","Male","Female","Different sex",8.833333,"6-10","Cohabiting","1","8","8",20,22,"11-20x","6-10x","1-5x","11-20x","21-50x","11-20x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","6-10y. younger partner",24,25,"2","3","6","7",10,7,13,7,9,7,6,12,12,4,4,11,0,0,11,12,10,10,8,"West Germany","West Germany","Rural area","Rural area","Married",13,"2-5"
34,27,"Full time activity","Full time activity","Male","Female","Different sex",9.666667,"6-10","Cohabiting","0","7","8",21,16,"11-20x","1-5x","1-5x","1-5x","1-5x","1-5x","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","11 to 20 times","21 to 50 times","6-10y. younger partner",25,22,"3","3","6","7",9,11,8,11,8,5,5,11,12,3,4,15,0,0,7,9,10,11,8,"West Germany","West Germany","Rural area","Rural area","Married",16,
33,32,"Home","Home","Female","Male","Different sex",3.166667,"3-5","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",22,24,"> 50x","21-50x","21-50x","11-20x","21-50x","21-50x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",22,24,"1 - Not at all","1 - Not at all","10 - Completely satisfied","10 - Completely satisfied",10,12,10,7,8,5,5,10,13,3,4,19,10,10,9,11,8,6,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",24,"0-1"
41,54,"Full time activity","Part-time activity","Female","Male","Different sex",3.416667,"3-5","Cohabiting","1","9","9",26,23,"21-50x","11-20x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","> 10y. older partner",22,23,"1 - Not at all","1 - Not at all","9","9",13,11,15,5,7,3,4,13,14,4,4,13,0,6,15,15,12,15,4,"West Germany","West Germany","Rural area","Rural area","Married",17,"14-17"
36,35,"Full time activity","Full time activity","Female","Male","Different sex",6.583333,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",24,,"> 50x","> 50x","> 50x","> 50x","> 50x","21-50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","Same age",24,,"1 - Not at all","1 - Not at all","7","9",11,10,9,10,9,5,4,12,12,3,4,13,0,0,7,13,10,13,5,"West Germany","West Germany","Rural area","Rural area","Married",16,
46,22,"Part-time activity","Part-time activity","Male","Female","Different sex",1.666667,"0-2","Cohabiting","2","10 - Completely satisfied","9",26,25,"> 50x","> 50x","11-20x","> 50x","21-50x","21-50x","More than 50 times","More than 50 times","11 to 20 times","More than 50 times","More than 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","> 10y. younger partner",29,23,"1 - Not at all","1 - Not at all","6","9",8,12,9,12,9,6,5,7,11,1,3,12,0,1,10,11,10,8,11,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",17,
40,37,"Full time activity","Home","Male","Female","Different sex",4.333333,"3-5","Cohabiting","2","9","8",,24,"21-50x","11-20x","11-20x","21-50x","11-20x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. younger partner",,27,"1 - Not at all","1 - Not at all","9","7",10,13,9,11,8,4,4,13,13,5,4,11,2,7,9,14,14,15,8,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",13,"0-1"
44,31,"Full time activity","Full time activity","Male","Female","Different sex",5.083333,"3-5","Cohabiting","1","10 - Completely satisfied","9",27,26,"> 50x","6-10x","21-50x","> 50x","21-50x","11-20x","More than 50 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","> 10y. younger partner",27,27,"2","4","8","6",10,12,9,15,6,5,9,13,7,5,4,11,0,0,7,12,10,13,13,"West Germany","West Germany","City","City","Married",11,
30,33,"Home","Home","Female","Male","Different sex",9.083333,"6-10","Cohabiting","1","8","5",23,,"6-10x","6-10x","6-10x","1-5x","1-5x","11-20x","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","1 to 5 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",23,,"4","3","4","3",11,7,13,9,13,9,5,10,9,3,3,12,0,0,4,15,7,9,6,"West Germany","West Germany","City","Town or suburb","Not married",7,"0-1"
41,44,"Full time activity","Part-time activity","Male","Female","Different sex",11.66667,"11-20","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",24,24,"21-50x","11-20x","11-20x","21-50x","11-20x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","21 to 50 times","21 to 50 times","2-5y. older partner",26,25,"1 - Not at all","1 - Not at all","7","7",7,11,15,10,7,3,5,15,13,4,4,8,3,1,8,11,13,11,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",7,"6-13"
22,28,"Full time activity","Full time activity","Female","Male","Different sex",2.333333,"0-2","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",23,28,"> 50x","11-20x","11-20x","> 50x","11-20x","11-20x","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","6-10y. older partner",25,29,"3","1 - Not at all","5","10 - Completely satisfied",6,11,8,9,12,7,4,6,15,4,4,12,0,0,10,13,12,11,5,"East Germany","East Germany","Town or suburb","Town or suburb","Not married",14,
40,32,"Full time activity","Part-time activity","Male","Female","Different sex",11.16667,"11-20","Cohabiting","2","8","8",17,23,"11-20x","6-10x","1-5x","11-20x","11-20x","11-20x","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","6-10y. younger partner",18,24,"1 - Not at all","1 - Not at all","8","8",7,9,11,7,9,6,6,11,13,4,4,12,8,1,11,13,14,10,7,"West Germany","West Germany","Rural area","Rural area","Married",13,"0-1"
45,39,"Full time activity","Full time activity","Male","Female","Different sex",20.33333,"11-20","Cohabiting","2","8","9",23,19,"11-20x","11-20x","1-5x","21-50x","11-20x","1-5x","11 to 20 times","11 to 20 times","1 to 5 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","1 to 5 times","21 to 50 times","21 to 50 times","6 to 10 times","6-10y. younger partner",25,26,"1 - Not at all","1 - Not at all","8","8",8,9,14,10,5,3,3,13,14,4,4,7,0,7,12,15,12,8,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"6-13"
26,31,"Full time activity","Full time activity","Female","Male","Different sex",4.666667,"3-5","Cohabiting","0","9","7",22,,"> 50x","21-50x","> 50x","> 50x","21-50x","21-50x","More than 50 times","21 to 50 times","More than 50 times","Not at all","Not at all","Not at all","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","2-5y. older partner",26,,"2","1 - Not at all","8","7",9,12,10,9,6,3,5,11,13,5,4,11,5,3,10,10,8,10,8,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",21,
42,45,"Full time activity","Full time activity","Female","Male","Different sex",23.75,"21+","Cohabiting","3+","10 - Completely satisfied","9",,,"21-50x","6-10x","6-10x","21-50x","6-10x","6-10x","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","21 to 50 times","6 to 10 times","6 to 10 times","2-5y. older partner",,,"1 - Not at all","1 - Not at all","7","9",12,13,12,13,8,6,3,13,15,4,4,14,8,5,9,13,9,9,5,"West Germany",,"Town or suburb",,"Married",7,"2-5"
40,40,"Full time activity","Part-time activity","Male","Female","Different sex",12.25,"11-20","Cohabiting","1","8","8",18,17,"0x","1-5x","1-5x","0x","1-5x","1-5x","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","Same age",24,22,"1 - Not at all","2","7","8",6,11,14,8,5,3,6,13,12,4,4,15,7,4,8,13,9,11,12,"West Germany","West Germany","Rural area","Rural area","Married",10,"2-5"
35,37,"Home","Full time activity","Female","Male","Different sex",20.66667,"11-20","Cohabiting","2","7","7",22,19,"1-5x","0x","1-5x","11-20x","11-20x","11-20x","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",23,23,"2","3","7","7",13,12,14,8,4,4,5,13,13,4,3,24,2,2,10,7,10,9,7,"West Germany","West Germany","City","City","Married",19,"0-1"
42,43,"Full time activity","Full time activity","Male","Female","Different sex",27.08333,"21+","Cohabiting","1","8","8",19,21,"6-10x","1-5x","0x","11-20x","11-20x","0x","6 to 10 times","1 to 5 times","Not at all","11 to 20 times","6 to 10 times","1 to 5 times","11 to 20 times","11 to 20 times","Not at all","21 to 50 times","11 to 20 times","1 to 5 times","Same age",19,20,"2","3","7","8",8,8,11,5,6,4,6,8,11,3,4,7,0,3,12,12,11,12,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",,
40,40,"Full time activity","Part-time activity","Male","Female","Different sex",23.08333,"21+","Cohabiting","1","9","9",22,24,"6-10x","11-20x","6-10x","11-20x","11-20x","6-10x","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","6 to 10 times","Same age",25,24,"1 - Not at all","1 - Not at all","8","9",6,9,11,10,9,5,4,9,13,3,3,16,0,0,6,13,6,11,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",14,"6-13"
36,34,"Full time activity","Part-time activity","Male","Female","Different sex",5.833333,"3-5","Separate households","1","7","7",15,18,"6-10x","11-20x","11-20x","21-50x","6-10x","1-5x","6 to 10 times","11 to 20 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","6 to 10 times","1 to 5 times","More than 50 times","11 to 20 times","11 to 20 times","2-5y. younger partner",21,19,"3","2","7","8",8,6,9,8,11,6,5,10,13,3,3,21,8,2,7,12,11,11,8,"East Germany","East Germany","City","Town or suburb","Not married",10,
48,46,"Full time activity","Full time activity","Male","Female","Different sex",20.58333,"11-20","Cohabiting","2","10 - Completely satisfied","9",23,,"1-5x","1-5x","1-5x","0x","1-5x","0x","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","Not at all","Not at all","1 to 5 times","1 to 5 times","2-5y. younger partner",21,,"1 - Not at all","2","7","7",8,12,12,10,7,3,6,13,11,5,2,18,0,7,6,12,11,10,7,"West Germany","West Germany","City","City","Married",17,"6-13"
